City/Town,State,County,Latitude,Longitude,Avg Daily Irradiance,Est. Energy Production Per Day
Westlake,TX,Tarrant,32.9809,-97.2041,4.9167,1.77
Lexington,TX,Lee,30.4148,-97.0094,4.9071,1.7666
Fairlea,WV,Greenbrier,37.7756,-80.4582,4.2238,1.5206
Chadds Ford,PA,Chester,39.8742,-75.604,4.1793,1.5045
Platte,SD,Charles Mix,43.3869,-98.8435,4.3599,1.5696
Tangent,OR,Linn,44.5477,-123.1109,4.0182,1.4466
Continental,OH,Putnam,41.1001,-84.2727,3.9404,1.4185
Fosston,MN,Polk,47.5856,-95.7577,3.866,1.3918
Lightstreet,PA,Columbia,41.0407,-76.4175,3.8115,1.3721
Aberdeen,OH,Brown,38.6713,-83.7704,4.0949,1.4742
Terrebonne,OR,Deschutes,44.3533,-121.1807,4.3402,1.5625
Farmland,IN,Randolph,40.1895,-85.1273,4.0317,1.4514
Fort Clark Springs,TX,Kinney,29.2937,-100.4244,5.1465,1.8527
Westhaven-Moonstone,CA,Humboldt,41.0447,-124.1023,4.2953,1.5463
Thomas,OK,Custer,35.7452,-98.7451,5.0004,1.8001
Cobb Island,MD,Charles,38.2647,-76.8496,4.345,1.5642
Plymouth,CA,Amador,38.4776,-120.8584,5.308,1.9109
Holland,TX,Bell,30.8835,-97.4025,4.9071,1.7666
Tuolumne City,CA,Tuolumne,37.9615,-120.2428,5.3991,1.9437
Greenfield,IL,Greene,39.3444,-90.208,4.1921,1.5092
Bonnetsville,NC,Sampson,34.9993,-78.3962,4.56,1.6416
Chatsworth,IL,Livingston,40.7293,-88.2974,4.0565,1.4603
Winthrop,MN,Sibley,44.5424,-94.3598,4.0658,1.4637
Tuscarawas,OH,Tuscarawas,40.3932,-81.4005,3.8937,1.4017
Hiller,PA,Fayette,40.0069,-79.9049,3.8265,1.3775
Reno,OH,Washington,39.3769,-81.3933,3.9607,1.4259
Fort Dick,CA,Del Norte,41.8663,-124.1526,4.2953,1.5463
Contoocook,NH,Merrimack,43.2232,-71.7129,3.768,1.3565
Calverton Park,MO,St. Louis,38.7656,-90.3103,4.2585,1.5331
Salix,PA,Cambria,40.2964,-78.7594,3.8148,1.3733
East Valley,NV,Douglas,38.9452,-119.6993,5.3394,1.9222
Shokan,NY,Ulster,41.9809,-74.213,3.8311,1.3792
Emmonak,AK,Kusilvak,62.7762,-164.5157,2.4252,0.8731
Stanton,MI,Montcalm,43.2928,-85.0789,3.7701,1.3572
Miller,SD,Hand,44.5204,-98.9869,4.2819,1.5415
Clifton,IL,Iroquois,40.9348,-87.9343,4.0377,1.4536
Moyie Springs,ID,Boundary,48.7247,-116.1953,3.7252,1.3411
Milford Square,PA,Bucks,40.4325,-75.4056,3.9492,1.4217
Morgantown,IN,Morgan,39.373,-86.2584,4.0917,1.473
Weidman,MI,Isabella,43.7014,-84.9745,3.7847,1.3625
Wingdale,NY,Dutchess,41.6376,-73.5687,3.9479,1.4212
Markesan,WI,Green Lake,43.7098,-88.9907,3.9025,1.4049
Archie,MO,Cass,38.4809,-94.351,4.3755,1.5752
Meeker,OK,Lincoln,35.4855,-96.8951,4.6465,1.6727
Robinhood,MS,Rankin,32.2045,-89.9671,4.6297,1.6667
Mineral Springs,AR,Howard,33.8771,-93.9217,4.5295,1.6306
El Tumbao,PR,Guánica,18.0015,-66.8995,5.5331,1.9919
Warren,IN,Huntington,40.6878,-85.425,4.0317,1.4514
Richland,GA,Stewart,32.0885,-84.6625,4.6561,1.6762
Wolfhurst,OH,Belmont,40.069,-80.781,3.8614,1.3901
Livonia,LA,Pointe Coupee,30.5623,-91.5501,4.6944,1.69
Rio Vista,TX,Johnson,32.2351,-97.3745,4.9167,1.77
Lubeck,WV,Wood,39.2276,-81.6265,3.9607,1.4259
Homewood,SC,Horry,33.8927,-79.0518,4.6282,1.6662
Lake Holiday,IN,Montgomery,39.9642,-86.9607,4.0917,1.473
Keaau,HI,Hawaii,19.6233,-155.0483,5.449,1.9616
Ontonagon,MI,Ontonagon,46.8665,-89.3122,3.6262,1.3054
Kingston,NJ,Somerset,40.3838,-74.6122,4.0175,1.4463
Fairview,UT,Sanpete,39.6299,-111.4368,5.0393,1.8141
Red Lake Falls,MN,Red Lake,47.8837,-96.2727,3.9789,1.4324
Onarga,IL,Iroquois,40.7153,-88.0108,4.0565,1.4603
Millport,AL,Lamar,33.5586,-88.0817,4.6201,1.6632
Greenfield,MO,Dade,37.4162,-93.8432,4.4344,1.5964
Oakland,OR,Douglas,43.4233,-123.2969,4.1977,1.5112
Hoxie,KS,Sheridan,39.3558,-100.4397,4.8572,1.7486
Lookout Mountain,AL,Etowah,34.1091,-85.9585,4.4757,1.6113
Alamance,NC,Alamance,36.0285,-79.489,4.4481,1.6013
Wymore,NE,Gage,40.1221,-96.6642,4.439,1.598
Goodman,MS,Holmes,32.9677,-89.9128,4.6297,1.6667
Woodbine,IA,Harrison,41.7352,-95.7078,4.3087,1.5511
Latta,OK,Pontotoc,34.7532,-96.7088,4.6971,1.691
Auxvasse,MO,Callaway,39.0174,-91.8958,4.2358,1.5249
Boyceville,WI,Dunn,45.0427,-92.0384,3.9347,1.4165
Absecon Highlands,NJ,Atlantic,39.4409,-74.4735,4.1491,1.4937
Elkhorn,CA,Monterey,36.8103,-121.7212,5.3507,1.9263
Lake LeAnn,MI,Hillsdale,42.0599,-84.4309,3.8391,1.3821
Dewart,PA,Northumberland,41.1099,-76.8707,3.8115,1.3721
Spring Valley,WI,Pierce,44.8498,-92.2442,3.9651,1.4274
Thomson,IL,Carroll,41.9748,-90.1122,4.0687,1.4647
Elton,LA,Jefferson Davis,30.4813,-92.6976,4.6591,1.6773
Passapatanzy,VA,King George,38.2942,-77.3266,4.2275,1.5219
Kilmarnock,VA,Lancaster,37.7118,-76.3834,4.4078,1.5868
Griggsville,IL,Pike,39.7078,-90.7276,4.1921,1.5092
Dalton,PA,Lackawanna,41.5382,-75.739,3.7647,1.3553
Bolivar,WV,Jefferson,39.3241,-77.7517,4.0947,1.4741
Riverside,UT,Box Elder,41.8106,-112.1403,4.735,1.7046
Bear Creek,AK,Kenai Peninsula,60.2071,-149.3524,2.5285,0.9103
Alton,IA,Sioux,42.9876,-96.0094,4.2944,1.546
North Ballston Spa,NY,Saratoga,43.0194,-73.8516,3.6925,1.3293
Egypt,AL,Etowah,34.076,-86.1651,4.499,1.6196
Norwood,NY,St. Lawrence,44.7482,-74.997,3.5414,1.2749
New Brockton,AL,Coffee,31.3785,-85.9228,4.7502,1.7101
Frankston,TX,Anderson,32.0561,-95.5043,4.6699,1.6812
Geneva,IN,Adams,40.5975,-84.9568,4.0432,1.4556
Blue Ridge,AL,Elmore,32.501,-86.1839,4.6675,1.6803
Tower Lakes,IL,Lake,42.2315,-88.1537,3.9446,1.4201
Mulberry,IN,Clinton,40.3458,-86.6672,4.0341,1.4523
Monument Hills,CA,Yolo,38.6641,-121.8754,5.333,1.9199
Mansfield Center,CT,Capitol,41.7614,-72.1945,4.0035,1.4413
North Grosvenor Dale,CT,Northeastern Connecticut,41.9862,-71.9033,4.1025,1.4769
Bonner-West Riverside,MT,Missoula,46.8767,-113.8869,4.076,1.4674
Arma,KS,Crawford,37.5429,-94.7023,4.4631,1.6067
Bellevue,MI,Eaton,42.4443,-85.0187,3.8138,1.373
Kittitas,WA,Kittitas,46.9837,-120.4189,4.1419,1.4911
Cherry Branch,NC,Craven,34.9304,-76.8112,4.4862,1.615
Columbus,NM,Luna,31.8271,-107.6422,5.967,2.1481
Cologne,NJ,Atlantic,39.4933,-74.6091,4.1491,1.4937
Atoka,NM,Eddy,32.7783,-104.3931,5.7221,2.06
Yarrow Point,WA,King,47.6492,-122.2191,3.6009,1.2963
Bolinas,CA,Marin,37.9177,-122.7095,4.8794,1.7566
Herlong,CA,Lassen,40.1417,-120.1397,5.1455,1.8524
